iter	RMSE
0	2.28235505
1	2.208135649
2	2.14547369
3	2.093149592
4	2.047092002
5	2.007951402
6	1.974606468
7	1.932413427
8	1.892262386
9	1.865306301
10	1.838038694
11	1.792440655
12	1.754191396
13	1.722663397
14	1.697005903
15	1.674046253
16	1.655087676
17	1.636845716
18	1.619172118
19	1.605610425
20	1.593388319
21	1.583970408
22	1.574353069
23	1.567137504
24	1.558758698
25	1.552303153
26	1.548003863
27	1.544373107
28	1.540264862
29	1.536312004
30	1.531641209
31	1.528692085
32	1.524280015
33	1.520313565
34	1.516014203
35	1.512410317
36	1.508507548
37	1.505703632
38	1.50205603
39	1.498648727
40	1.496810265
41	1.494500695
42	1.492137187
43	1.490471517
44	1.489129261
45	1.487300664
46	1.485515503
47	1.484517877
48	1.482922389
49	1.481292245
50	1.478154057
51	1.47561787
52	1.474501928
53	1.472142353
54	1.470184183
55	1.467731809
56	1.466398486
57	1.465081932
58	1.464262181
59	1.462153082
60	1.460658039
61	1.458249943
62	1.45703083
63	1.455722045
64	1.453822013
65	1.452592226
66	1.452077213
67	1.451274835
68	1.450033909
69	1.449383737
70	1.448625791
71	1.447968693
72	1.445450516
73	1.444749582
74	1.444131889
75	1.442537195
76	1.441981765
77	1.440104015
78	1.439655355
79	1.439279421
80	1.438139598
81	1.437203031
82	1.436068455
83	1.43425637
84	1.433786741
85	1.431631305
86	1.430775095
87	1.429961075
