iter	Passed	Remaining
0	691	1381423
1	1244	1243366
2	1755	1168697
3	2253	1124291
4	2752	1098385
5	3225	1072085
6	3723	1060187
7	4335	1079486
8	4977	1101047
9	5529	1100323
10	6173	1116305
11	7059	1169478
12	7228	1104820
13	8104	1149690
14	8303	1098895
15	8638	1071114
16	9527	1111381
17	10372	1142094
18	10577	1102836
19	10907	1079815
20	11222	1057576
21	11973	1076544
22	12349	1061503
23	12810	1054713
24	13831	1092650
25	14553	1104935
26	15162	1107965
27	15782	1111508
28	16329	1109849
29	17398	1142507
30	18337	1164746
31	18867	1160347
32	20033	1194135
33	20863	1206395
34	21672	1216730
35	22311	1217215
36	23176	1229585
37	23831	1230473
38	24689	1241433
39	25589	1253891
40	26180	1250940
41	27071	1262035
42	27695	1260449
43	28246	1255672
44	28829	1252485
45	29464	1251620
46	30152	1252933
47	30719	1249265
48	31431	1251492
49	32517	1268171
50	33641	1285617
51	34388	1288240
52	35059	1287926
53	35749	1288319
54	36379	1286517
55	37379	1297611
56	38107	1299007
57	38716	1296342
58	39370	1295238
59	40215	1300286
60	40908	1300363
61	41559	1299058
62	42169	1296542
63	42927	1298555
64	43931	1307807
65	44877	1315057
66	45439	1310949
67	46042	1308139
68	47146	1319426
69	47621	1312992
70	48225	1310251
71	48831	1307605
72	49694	1311797
73	50369	1310978
74	50978	1308460
75	52238	1322446
76	52778	1318081
77	53626	1321410
78	54128	1316218
79	54663	1311913
80	55870	1323652
81	57062	1334704
82	57592	1330167
83	58432	1332814
84	59064	1330689
85	59736	1329493
86	60283	1325543
87	61052	1326500
